Number of Student,Student ID,Subject,Are you Malaysian above 18 years old?,Where is your hometown?,Do you wish to go back hometown to vote?,I agree to continue my class as usual during 17 - 21 Nov 2022. ,I agree to have online class replacement for the leaves during General Election 15.
27,D220101B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
28,B190196C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
29,B210086B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
30,F220086C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
31,F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
32,F220047B,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
33,ep190021,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
34,B220186C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),No
35,F220007A,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
36,D220026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
37,D200104B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
38,F220159C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
39,F220159C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
40,F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
41,9F220100,Programming Logic and Design FACS1003,No,None,None,None,None
42,D220103B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
43,F220080C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
44,F220101C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
45,F220080C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
46,F220101C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
47,F220014A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,No (Disagree),Yes
48,D220002A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
49,D220137B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
50,F220151C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),No
51,F220151C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),No
52,B220070A,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),None
53,D200143B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
54,B220107B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
55,F220118C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
56,F220094C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,No,None,None,None,None
57,F220094C,Programming Logic and Design FACS1003,No,None,None,None,None
58,F220156C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
59,F220083C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),No
60,F220073C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
61,F220073C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
62,F220127C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),None
63,F220174C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
64,F220137C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
65,F220114C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
66,F220005A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
67,F220121C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
68,B220162C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),No
69,B220058A,Project Management BTIS2033,Yes,Johor Bahru,Yes,No (Disagree),Yes
70,F220105C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
71,B210201C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
72,D220035A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
73,F220065B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
74,D220082A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
75,F220171C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
76,F220171C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
77,B220038B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,No,Yes (Agree),None
78,F220084C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
79,F220172C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
80,F220055B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
81,B220042A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),None
82,F220034B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
83,B210230C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
84,F220169C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
85,F220169C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
86,B210254C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
87,B210059A,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),None
88,B210198C,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),None
89,F220070C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
90,D220067A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
91,9F220100,Programming Logic and Design FACS1003,No,None,None,None,None
92,F220138C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
93,F220122C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
94,F220138C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
95,F220153C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
96,F220057B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree),Yes
97,F220144C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
98,F220154C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
99,F220175C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
100,F220167C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
101,D220121B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
102,D220115B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
103,D220100B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
104,F220069B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
105,B210151B,Project Management BTIS2033,Yes,not Johor Bahru,Yes,Yes (Agree),None
106,F220155C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
107,B210064A,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
108,B210249C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
109,B210157B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
110,B210248C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
111,B210094B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
112,B210131B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),None
113,B210001A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),None
114,B210206C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),None
115,D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
116,B220108B,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,No,Yes (Agree),None
117,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
118,B220136C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
119,B220177C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,Yes (Agree),None
120,B220003A,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
121,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
122,B220188C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),Yes
123,F220020A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
124,F220099C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
125,F220162C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
126,F220162C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
127,F220134C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,No,None,None,None,None
128,F220142C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
129,F220134C,Programming Logic and Design FACS1003,No,None,None,None,None
130,F220107C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
131,F220124C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
132,F220082C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
133,F220163C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
134,F220131C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
135,F220143C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
136,F220108C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
137,F220108C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),None
138,F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
139,F220181C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,No (Disagree),Yes
140,F220120C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),No
141,F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
142,F220094C,Programming Logic and Design FACS1003,No,None,None,None,None
143,F220005A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
144,F220122C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
145,F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
146,F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
147,F220003A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
148,F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
149,F220133C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
150,F220166C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
151,F220127C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),None
152,F220025B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
153,F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
